311,1418210,Espanha,Registado,1407,DB - Quarto Duplo Standard,DB Room Only NRF,2022-01-01T10:17:09.290Z,1,2,2,0,2,63.0,2022-01-01,2022-01-02,2022-01-03,1,true,true,true
309,1418228,Portugal,Modificada,1372,Quarto Duplo Standard,DB RO NRF,2022-01-01T12:19:43.463Z,1,2,2,0,2,38.7,2022-01-01,2022-01-01,2022-01-02,1,true,true,true
395,1418293,Suiça,Registado,1829,Estúdio Jardim,Standard,2022-01-01T17:34:28.520Z,2,2,4,0,2,500.0,2022-01-01,2022-08-16,2022-08-18,2,true,true,true
283,1418305,Holanda,Registado,1241,Estudio,Standard,2022-01-01T18:30:17.650Z,3,1,1,0,1,126.0,2022-01-01,2022-01-02,2022-01-05,3,true,true,true
444,1418314,Estados Unidos,Registado,2074,Duplo ou Twin  Vista Mar lateral,Normal,2022-01-01T19:00:45.380Z,1,1,1,0,1,80.0,2022-01-01,2022-01-07,2022-01-08,1,true,true,true
535,1418316,Portugal,Registado,2783,Bungalow,WebSite,2022-01-01T19:23:05.247Z,2,2,2,0,2,135.0,2022-01-01,2022-01-04,2022-01-06,2,true,true,true
539,1418318,Portugal,Registado,2542,Quarto Dpl. Standard,Bar,2022-01-01T19:27:10.147Z,1,1,1,0,1,30.0,2022-01-01,2022-01-02,2022-01-03,1,true,true,true
535,1418332,Portugal,Registado,2526,Quarto Familiar,WebSite,2022-01-01T20:46:19.070Z,2,2,2,0,2,162.0,2022-01-01,2022-01-02,2022-01-04,2,true,true,true
414,1418334,Portugal,Registado,2049,Suite Junior,Normal - Bar,2022-01-01T21:06:19.357Z,1,2,2,0,2,100.0,2022-01-01,2022-01-02,2022-01-03,1,true,true,true
556,1418346,Portugal,Registado,2831,Double Room Standard,NRF - Non Refundable,2022-01-01T21:51:12.743Z,2,2,2,0,2,105.6,2022-01-01,2022-01-06,2022-01-08,2,true,true,true
556,1418346,Portugal,Registado,2833,Triple Room Standard,NRF - Non Refundable,2022-01-01T21:51:12.743Z,2,3,3,0,3,158.4,2022-01-01,2022-01-06,2022-01-08,2,true,true,true
285,1418404,Bélgica,Registado,1288,STUDIO,7N,2022-01-02T11:09:32.477Z,9,2,2,0,2,367.2,2022-01-02,2022-05-12,2022-05-21,9,true,true,true
535,1418455,Portugal,Pendente,2523,Quarto Duplo,WebSite,2022-01-02T14:08:18.647Z,1,2,2,0,2,58.5,2022-01-02,2022-01-02,2022-01-03,1,true,true,true
556,1418531,Portugal,Registado,2831,Double Room Standard,WEB (Best Available Rate) BB,2022-01-02T17:55:07.090Z,2,2,2,0,2,114.0,2022-01-02,2022-01-03,2022-01-05,2,true,true,true
535,1418540,Portugal,Pendente,2523,Quarto Duplo,WebSite,2022-01-02T18:36:28.980Z,1,2,2,0,2,58.5,2022-01-02,2022-01-05,2022-01-06,1,true,true,true
444,1418544,Portugal,Registado,2074,Duplo ou Twin  Vista Mar lateral,Normal,2022-01-02T18:57:55.083Z,2,2,2,0,2,160.0,2022-01-02,2022-01-13,2022-01-15,2,true,true,true
556,1418568,Portugal,Cancelado,2831,Double Room Standard,WEB (Best Available Rate) BB,2022-01-02T19:54:47.323Z,1,2,2,0,2,76.0,2022-01-02,2022-01-15,2022-01-16,1,true,true,true
535,1418570,Portugal,Pendente,2523,Quarto Duplo,WebSite,2022-01-02T19:58:57.440Z,1,2,2,0,2,58.5,2022-01-02,2022-01-07,2022-01-08,1,true,true,true
539,1418582,Portugal,Registado,2542,Quarto Dpl. Standard,Bar,2022-01-02T20:57:17.820Z,2,1,1,0,1,0.0,2022-01-02,2022-02-18,2022-02-20,2,true,true,true
556,1418600,Portugal,Pendente,2831,Double Room Standard,WEB (Best Available Rate) BB,2022-01-02T22:04:59.693Z,1,2,6,0,2,228.0,2022-01-02,2022-01-08,2022-01-09,1,true,true,true
556,1418623,Portugal,Registado,2831,Double Room Standard,WEB (Best Available Rate) BB,2022-01-02T23:36:46.203Z,3,2,2,0,2,176.7,2022-01-02,2022-01-05,2022-01-08,3,true,true,true
283,1418645,Portugal,Cancelado,1242,T1,7N,2022-01-03T07:05:22.147Z,42,2,2,0,2,0.0,2022-01-03,2022-04-19,2022-05-31,42,true,true,true
535,1418670,Portugal,Registado,2524,Quarto Twin,WebSite,2022-01-03T10:36:17.997Z,1,2,2,0,2,58.5,2022-01-03,2022-01-06,2022-01-07,1,true,true,true
492,1418672,Portugal,Registado,2321,Apartamento T2,Bar,2022-01-03T10:42:18.623Z,2,4,4,0,4,250.0,2022-01-03,2022-01-03,2022-01-05,2,true,true,true
413,1418675,Portugal,Registado,1912,Quarto Twin / Duplo Vista Montanha,BAR,2022-01-03T10:47:41.600Z,2,2,2,0,2,195.0,2022-01-03,2022-01-07,2022-01-09,2,true,true,true
492,1418682,Portugal,Registado,2333,Quarto de casal com WC privativa,Bar,2022-01-03T11:06:54.260Z,4,1,1,0,1,200.0,2022-01-03,2022-01-03,2022-01-07,4,true,true,true
395,1418720,Portugal,Registado,1828,Estúdio,Standard,2022-01-03T12:56:46.420Z,1,1,1,0,1,45.0,2022-01-03,2022-01-25,2022-01-26,1,true,true,true
310,1418731,Portugal,Modificada,1395,Quarto Duplo Standard,NRF,2022-01-03T13:50:24.230Z,4,2,2,0,2,172.8,2022-01-03,2022-01-03,2022-01-07,4,true,true,true
501,1418741,Reino Unido,Modificada,2373,Casa Teresinha,Normal,2022-01-03T14:32:04.820Z,2,2,2,0,2,204.0,2022-01-03,2022-08-03,2022-08-05,2,true,true,true
54,1418748,Alemanha,Registado,167,Quarto Twin,Bar - Melhor Preço Online Garantido,2022-01-03T15:03:42.450Z,2,1,1,0,1,123.0,2022-01-03,2022-06-01,2022-06-03,2,true,true,true
